MFN,DATE,TIME,DOW,STR#,DIR,ROADWAY,SUF,MP,LATITUDE,LONGITUDE,INTERSECTION,#UNITS,#VEH#,#KILL,#INJURED,WEATHER,RD\COND,H&R,DIRECTIONAL ANALYSIS,MANNER,RDCHAR,LIGHT COND
72410294,9/21/2019,1755,Saturday,100,,PASADENA,DR,0.147,38.00433533,-84.52184302,,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72412054,9/25/2019,2110,Wednesday,,,TATES CREEK,RD,5.876,37.94420125,-84.48261629,CRESTFIELD LN,2,2,0,0,CLEAR,DRY,TRUE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING)
72414067,9/30/2019,1400,Monday,,W,LOWRY,LN,0.001,38.00575241,-84.51860877,,1,1,0,1,CLOUDY,DRY,FALSE,OCCUPANT FELL FROM MOVING VEHICLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72419029,10/10/2019,1943,Thursday,,,PINE,ST,0.075,38.04346996,-84.50320753,UPPER ST,2,2,0,2,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72422215,10/17/2019,1700,Thursday,,,WINCHESTER,RD,8.99,38.04143787,-84.47479608,,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT
72424514,10/22/2019,1532,Tuesday,100,,SUMMITT AT FRITZ FARM,,,37.9772074,-84.52618565,,2,2,0,0,CLEAR,DRY,FALSE,COLLISION IN PARKING LOT,REAR END,STRAIGHT & LEVEL,DAYLIGHT
72425069,10/23/2019,1518,Wednesday,,,VIRGINIA,AVE,0.024,38.0350012,-84.50874376,,2,2,0,0,CLEAR,DRY,TRUE,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT
72432062,11/4/2019,1928,Monday,,,RICHMOND,RD,11.514,38.02029609,-84.46738476,,4,4,1,0,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72433665,11/8/2019,1805,Friday,,,GEORGETOWN,RD,20.986,38.13971502,-84.53539654,,2,2,0,1,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR TO REAR,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED
72439134,11/20/2019,107,Wednesday,1100,,WINCHESTER,RD,9.642,38.04231108,-84.46371663,,2,2,0,0,RAINING,WET,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON
72443092,11/27/2019,1046,Wednesday,,,VERSAILLES,RD,5.87,38.04744401,-84.54338459,MASON HEADLEY RD,1,1,0,1,CLEAR,DRY,FALSE,NON-COLLISION OBJECT COLLISION,SINGLE VEHICLE,CURVE & GRADE,DARK (UNKNOWN ROADWAY LIGHTING)
72443701,11/28/2019,2322,Thursday,1300,,VERSAILLES,RD,6.961,38.04973389,-84.52363925,,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72467301,1/23/2020,1627,Thursday,,,ARMSTRONG MILL,RD,0.549,37.97881866,-84.48605885,,2,2,0,0,RAINING,WET,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & HILLCREST,DAYLIGHT
72490360,3/24/2020,1525,Tuesday,1800,,HISLE,WAY,0.103,38.05055044,-84.45062061,,2,2,0,0,CLOUDY,DRY,TRUE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DAYLIGHT
72490573,3/25/2020,1615,Wednesday,1400,,VERSAILLES,RD,6.771,38.04943241,-84.5277009,,2,2,0,0,CLEAR,DRY,FALSE,COLLISION IN PARKING LOT,BACKING,STRAIGHT & LEVEL,DAYLIGHT
72494797,4/16/2020,2306,Thursday,500,,SHAFTSBURY,RD,0.402,38.05543149,-84.45886583,,2,2,0,1,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,CURVE & LEVEL,DARK-HWY LIGHTED/ON
72495158,4/18/2020,2046,Saturday,,,VERSAILLES,RD,4.538,38.04540122,-84.5685018,KY4 EXIT5A ON RAMP FROM US60 E ,2,2,0,1,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/ON
72498706,5/4/2020,1028,Monday,,N,BROADWAY,,6.974,38.0535559,-84.49331609,4TH ST,2,2,0,0,CLEAR,DRY,TRUE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT
72501866,5/16/2020,1350,Saturday,,,LEESTOWN,RD,5.717,38.11013284,-84.58321136,YARNALLTON PIKE,1,1,0,1,CLEAR,DRY,FALSE,NON-COLLISION OBJECT COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72503404,5/21/2020,1016,Thursday,,,CLAY,AVE,0.209,38.03415201,-84.48838105,,2,2,0,1,CLOUDY,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DAYLIGHT
72505558,5/28/2020,2214,Thursday,,,BEAUMONT CENTRE,PKWY,0.067,38.01465072,-84.55520521,,2,2,0,0,CLOUDY,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72507608,6/3/2020,2150,Wednesday,,W,NEW CIRCLE,RD,1.355,38.00408614,-84.54434534,,2,2,0,2,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED
72507336,6/3/2020,2005,Wednesday,,,WILLY,ST,0.109,38.05778699,-84.49294238,,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DAYLIGHT
72507557,6/4/2020,1100,Thursday,,,CENTRE,PKWY,0.801,37.98029385,-84.47667046,HONEY JAY CT,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,CURVE & GRADE,DAYLIGHT
72507559,6/4/2020,1500,Thursday,,W,NEW CIRCLE,RD,6.391,38.06176571,-84.5439207,,1,1,0,1,RAINING,WET,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72508857,6/8/2020,1309,Monday,,,GOODWIN,DR,,38.04317996,-84.46029717,INDUSTRY RD,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72510184,6/11/2020,2350,Thursday,,E,LOUDON,AVE,1.235,38.0444173,-84.46655264,,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72513772,6/22/2020,1934,Monday,,E,7TH,ST,0.69,38.04816487,-84.47544342,JACKSON ST,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72522413,7/18/2020,1900,Saturday,,,EASTLAND,PKWY,0.181,38.04689384,-84.45110381,CONTINENTAL SQ,2,2,0,0,CLEAR,DRY,TRUE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT
72528500,8/5/2020,1845,Wednesday,,,OLD RICHMOND,RD,7.032,37.96842712,-84.42139294,WALNUT HILL RD,2,2,0,1,CLEAR,DRY,FALSE,REAR END - ONE VEHICLE TURNING LEFT,REAR END,STRAIGHT & HILLCREST,DAYLIGHT
72528641,8/6/2020,943,Thursday,800,,HORSEMANS,LN,0.082,38.04272392,-84.52548521,,1,1,0,1,CLEAR,DRY,FALSE,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72537886,9/2/2020,18,Wednesday,,,GEORGETOWN,ST,15.616,38.06662888,-84.50330005,,2,2,0,1,CLEAR,DRY,TRUE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,,DARK-HWY LIGHTED/ON
72538016,9/2/2020,1224,Wednesday,,,DOUGLAS,AVE,0.275,38.06663367,-84.50329989,GEORGETOWN ST,2,2,0,1,OTHER,OTHER,TRUE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON
72540224,9/8/2020,1536,Tuesday,,,MAPLE,AVE,0.461,38.05602591,-84.47763707,BRYAN AVE,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT
72548892,10/3/2020,1951,Saturday,,,CITATION,BLVD,3.205,38.09128397,-84.53540887,,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72550331,10/8/2020,640,Thursday,,,WINCHESTER,RD,10.17,38.04273327,-84.45416555,,2,2,0,1,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72550763,10/9/2020,1325,Friday,,W,MAIN,ST,0.533,38.05917047,-84.51345265,,2,2,0,1,CLOUDY,DRY,TRUE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT
72556128,10/23/2020,1130,Friday,3300,,NICHOLASVILLE,RD,2.043,37.99103167,-84.52377829,,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT
72558057,10/28/2020,1900,Wednesday,,,VERSAILLES,RD,6.549,38.04893181,-84.53171352,HEARTSBROOK LN,2,2,0,2,CLOUDY,DRY,FALSE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING)
72591372,2/4/2021,1722,Thursday,,,KINGTREE,DR,0.192,38.06019576,-84.4407328,ROSEWOOD DR,2,2,0,0,RAINING,WET,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DUSK
72603543,3/15/2021,1930,Monday,,E,2ND,ST,0.388,38.04613756,-84.49078266,SPRUCE ST,2,2,0,0,CLOUDY,WET,TRUE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING)
72604256,3/17/2021,1900,Wednesday,,W,MAIN,ST,13.984,38.0468064,-84.49761545,,2,2,0,0,RAINING,WET,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DUSK
72614843,4/17/2021,1728,Saturday,400,,SHAWNEE,AVE,0.092,38.05774081,-84.46788589,,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DAYLIGHT
72618226,4/27/2021,1650,Tuesday,,,TATES CREEK,RD,9.623,37.99400459,-84.49539733,,2,2,0,1,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT
72620263,5/2/2021,1851,Sunday,,,CHINOE,RD,1.817,38.00332361,-84.4851491,MOUNT DR,1,1,0,1,CLOUDY,DRY,FALSE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72620693,5/4/2021,219,Tuesday,,E,NEW CIRCLE,RD,17.297,37.99170559,-84.48644615,,2,2,0,1,CLEAR,DRY,TRUE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF
72624267,5/13/2021,1444,Thursday,,,SPRING RUN,RD,0.242,37.97873112,-84.55776816,MCGARRY DR,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72626781,5/18/2021,1700,Tuesday,,,CORRAL,ST,0.376,38.04270244,-84.4882961,RACE ST,2,2,0,0,CLEAR,DRY,TRUE,ANGLE COLLISION - OTHER,ANGLE,,DAYLIGHT
72625914,5/18/2021,1456,Tuesday,,E,3RD,ST,0.627,38.04370684,-84.48399678,SHROPSHIRE AVE,2,2,0,1,CLEAR,DRY,FALSE,VEHICLE BACKING IN INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT
72626275,5/19/2021,1318,Wednesday,,,TATES CREEK,RD,11.879,38.02577301,-84.49093339,,2,2,0,0,CLEAR,DRY,TRUE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & GRADE,DAYLIGHT
72630771,5/31/2021,2155,Monday,,S,BROADWAY,,5.436,38.03648253,-84.51881104,PYKE RD,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72631721,6/1/2021,1530,Tuesday,,N,LIMESTONE,,,38.04637796,-84.4970411,,1,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72631220,6/2/2021,300,Wednesday,,S,BROADWAY,,5.517,38.03751763,-84.51751469,,2,2,1,0,RAINING,WET,TRUE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72632520,6/5/2021,31,Saturday,,,RADCLIFFE,RD,0.026,38.08608458,-84.46711066,,2,2,0,1,CLEAR,DRY,TRUE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72633164,6/6/2021,120,Sunday,,N,BROADWAY,,7.612,38.05979182,-84.48433797,LOUDON AVE,2,2,1,0,CLEAR,DRY,TRUE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72646067,7/11/2021,1118,Sunday,,,LEESTOWN,RD,2.963,38.08179441,-84.54722464,,2,2,0,1,CLOUDY,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72652436,7/28/2021,855,Wednesday,,S,LIMESTONE,,0.39,38.04532161,-84.4985441,,2,2,0,1,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DAYLIGHT
72655187,8/5/2021,1848,Thursday,,,LANE ALLEN,RD,0.263,38.02680295,-84.53504127,HARRODSBURG RD,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72655626,8/6/2021,2224,Friday,,,RICHMOND,RD,9.638,37.99994425,-84.44447382,,2,2,0,1,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72656198,8/8/2021,221,Sunday,800,S,BROADWAY,,5.928,38.04125542,-84.51232569,,2,2,0,1,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72682027,10/12/2021,1700,Tuesday,,,INDUSTRY,RD,0.251,38.04625178,-84.46051507,EASTLAND DR,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72686431,10/23/2021,1313,Saturday,,N,BROADWAY,,8.774,38.06970046,-84.46813108,,2,2,0,1,CLOUDY,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT
72692354,11/4/2021,1439,Thursday,,S,LIMESTONE,,4.678,38.02814926,-84.51076638,WALLER AVE,2,2,0,2,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & GRADE,DAYLIGHT
72693393,11/7/2021,1231,Sunday,,,CLEARWATER,WAY,1.413,37.96847632,-84.51263864,,1,1,0,1,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT
72694800,11/10/2021,900,Wednesday,,W,NEW CIRCLE,RD,10.887,38.06515327,-84.47020253,,2,2,0,1,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT
72697354,11/16/2021,742,Tuesday,,,NICHOLASVILLE,RD,4.583,38.02671137,-84.51115852,,3,3,0,1,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72707057,12/9/2021,1014,Thursday,,,COOPER,DR,0.021,38.02811166,-84.51031079,,2,2,0,1,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72711853,12/20/2021,1915,Monday,,,TATES CREEK,RD,9.953,37.99874929,-84.49588005,,1,1,0,1,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72735496,2/28/2022,825,Monday,,,GAZETTE,AVE,0.007,38.03241622,-84.50931487,,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAWN
72737554,3/5/2022,1524,Saturday,,,EUCLID,AVE,12.251,38.03053299,-84.49157413,,2,2,0,1,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72742494,3/20/2022,1834,Sunday,2500,,LARKIN,RD,0.247,37.99908787,-84.51580879,,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72743947,3/24/2022,2005,Thursday,,,EUCLID,AVE,12.617,38.03452526,-84.4960319,WOODLAND AVE,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72752311,4/19/2022,1719,Tuesday,,,DELMONT,DR,0.01,38.04943349,-84.52822206,VERSAILLES RD,2,2,0,0,CLEAR,DRY,TRUE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72753420,4/22/2022,1747,Friday,3500,,CAULDER,RD,0.056,37.97961006,-84.4816894,,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & HILLCREST,DAYLIGHT
72757415,5/2/2022,1851,Monday,,,SANDERSVILLE,RD,0.115,38.08730368,-84.50561418,DARK TOWER RD,2,2,0,2,CLOUDY,DRY,FALSE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT
72761352,5/13/2022,2000,Friday,,,RUSSELL CAVE,RD,1.992,38.09722591,-84.46222488,FAULKNER AVE,2,2,0,2,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT
72761296,5/13/2022,1835,Friday,,W,MAXWELL,ST,7.75,38.05036969,-84.50908287,,1,1,0,1,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
72763971,5/20/2022,1945,Friday,,,RANSOM,AVE,0.103,38.03936063,-84.49161794,OLD VINE ST,2,2,0,0,CLEAR,DRY,FALSE,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT
72765298,5/24/2022,2135,Tuesday,,,MAN O WAR,BLVD,7.409,37.97249399,-84.51540011,,2,2,0,1,CLOUDY,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72767497,5/30/2022,1258,Monday,,,CODELL,DR,0.283,38.01233578,-84.45236208,ALSAB CT,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72771854,6/12/2022,1253,Sunday,,,TOWNE CENTER,DR,0.074,38.06823902,-84.52952837,SHARKEY WAY,2,2,0,0,CLEAR,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT
72772526,6/13/2022,1210,Monday,,,WINTERBERRY,DR,0.011,38.02638302,-84.55069203,,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH NON-FIXED OBJECT ,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72773047,6/15/2022,1654,Wednesday,,,HARRODSBURG,RD,3.831,38.02288492,-84.54138504,,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72776438,6/25/2022,1131,Saturday,,,ELM TREE,LN,0.206,38.04512599,-84.49072899,,1,1,0,1,CLEAR,DRY,FALSE,OCCUPANT FELL FROM MOVING VEHICLE,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
